Model,Accuracy,Precision,Recall,F1 Score,Best Parameters
Random Forest,0.9779286926994907,0.9789839451342616,0.9779286926994907,0.9777605907066031,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"
XGBoost,0.9753820033955858,0.9770146986884721,0.9753820033955858,0.9750819700224856,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
Support Vector Machine,0.9702886247877759,0.9739199269978435,0.9702886247877759,0.9701692977401396,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}"
Decision Tree,0.9376061120543294,0.9366715938390352,0.9376061120543294,0.9365586429507308,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2}"
